ReqID,Requirement,VerificationMethod,TestCaseID,EvidencePath,Notes
SR-001,"Distance within [100,5000] mm",Test,TC-001,results/TC-001_distance_range.md,"Verify min/max violations = 0"
SR-002,"Distance abs error <= 20 mm",Analysis,TC-002,analysis/TC-002_distance_accuracy.ipynb,"Compare to ground truth"
SR-003,"Temperature within [-20,85] C",Test,TC-003,results/TC-003_temp_range.md,"Verify min/max violations = 0"
SR-004,"Temperature abs error <= 1.0 C",Analysis,TC-004,analysis/TC-004_temp_accuracy.ipynb,"Compare to ground truth"
SR-005,"Sample rate 10 Hz +/- 0.5 Hz",Analysis,TC-005,analysis/TC-005_sample_rate.ipynb,"Compute rate over windows"
SR-006,"Delta t 100ms +/- 15ms for 99%",Analysis,TC-006,analysis/TC-006_jitter.ipynb,"Quantile-based check"
SR-007,"Dropout rate <= 0.5%",Analysis,TC-007,analysis/TC-007_dropouts.ipynb,"Missing index/time gaps"
SR-008,"Timestamp strictly monotonic",Test,TC-008,results/TC-008_timestamp_monotonic.md,"No duplicates/decreases"
SR-009,"No missing fields",Test,TC-009,results/TC-009_completeness.md,"Schema/parse validation"
SR-010,"FAULT when out of range",Test,TC-010,results/TC-010_status_flags.md,"Inject out-of-range"
SR-011,"Drift <= 10mm per 10min",Analysis,TC-011,analysis/TC-011_drift.ipynb,"Slope of bias vs time"
SR-012,"Log format parseable (CSV/JSONL)",Test,TC-012,results/TC-012_log_format.md,"Parser must succeed"